"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a post can be updated using Builder Pattern, Factory, Faker and MethodSource","475","updatePostFromPojo(int, String, String) [3] 3333, Mix-wildebeest, Hybrid Body 8","","Wed Sep 17 14:51:26 UTC 2025","passed","Wed Sep 17 14:51:27 UTC 2025","","com.demo.tests.CRUDUsingBuilderFakerFactoryMethodSource","com.demo.tests.CRUDUsingBuilderFakerFactoryMethodSource","updatePostFromPojo"
"","1","testPosts(int, String) [2] 202, Another title","","Thu Sep 18 07:35:09 UTC 2025","passed","Thu Sep 18 07:35:09 UTC 2025","","com.demo.tests.JUnit5ParameterizedTests","com.demo.tests.JUnit5ParameterizedTests","testPosts"
"Verify that a post can be created using Builder Pattern, Factory, Faker and Parameterized","1129","createPostFromBuilder() [3] ","","Wed Sep 17 13:53:36 UTC 2025","passed","Wed Sep 17 13:53:37 UTC 2025","","com.demo.tests.CRUDUsingBuilderFakerFactoryParameterized","com.demo.tests.CRUDUsingBuilderFakerFactoryParameterized","createPostFromBuilder"
"","151","postBuilderWithFakerTest()","","Thu Sep 18 07:35:06 UTC 2025","passed","Thu Sep 18 07:35:07 UTC 2025","","com.demo.tests.restAssuredTopic.BuilderPatternConcept.PostBuilderTest","com.demo.tests.restAssuredTopic.BuilderPatternConcept.PostBuilderTest","postBuilderWithFakerTest"
"Verify that a post can be updated using Builder Pattern, Factory, Faker and MethodSource","473","updatePostFromPojo(int, String, String) [2] 2222, Fixed Update Title, Excepturi pariatur culpa.","","Wed Sep 17 14:51:26 UTC 2025","passed","Wed Sep 17 14:51:26 UTC 2025","","com.demo.tests.CRUDUsingBuilderFakerFactoryMethodSource","com.demo.tests.CRUDUsingBuilderFakerFactoryMethodSource","updatePostFromPojo"
"","93","testLogin(String, String, int) [1] john, pass123, 200","","Mon Sep 15 14:51:45 UTC 2025","failed","Mon Sep 15 14:51:45 UTC 2025","","com.demo.tests.LoginApiTest","com.demo.tests.LoginApiTest","testLogin"
"","43","logAllTest()","","Thu Sep 18 07:35:07 UTC 2025","passed","Thu Sep 18 07:35:07 UTC 2025","","com.demo.tests.postApiTest","com.demo.tests.postApiTest","logAllTest"
"","1","testWithStrings(String) [2] Rest Assured","","Thu Sep 18 07:35:09 UTC 2025","passed","Thu Sep 18 07:35:09 UTC 2025","","com.demo.tests.JUnit5ParameterizedTests","com.demo.tests.JUnit5ParameterizedTests","testWithStrings"
"","47","queryParamRequestTest()","","Thu Sep 18 07:35:07 UTC 2025","passed","Thu Sep 18 07:35:07 UTC 2025","","com.demo.tests.postApiTest","com.demo.tests.postApiTest","queryParamRequestTest"
"Verify that a post can be created using Dynamic Approach","2229","createPostFromJsonFileAndAddDynamicTestData()","","Wed Sep 17 01:47:27 UTC 2025","passed","Wed Sep 17 01:47:29 UTC 2025","","com.demo.tests.CRUDUsingPOJO","com.demo.tests.CRUDUsingPOJO","createPostFromJsonFileAndAddDynamicTestData"
"","165","validatePostSchema_AfterCreate()","","Thu Sep 18 07:35:06 UTC 2025","passed","Thu Sep 18 07:35:06 UTC 2025","","com.demo.tests.SchemaValidationTest","com.demo.tests.SchemaValidationTest","validatePostSchema_AfterCreate"
"Verify that a post can be created using Builder Pattern, Factory, Faker and Parameterized","600","updatePostFromPojo(int, String, String) [1] 1111, Title One, Body One","","Wed Sep 17 14:10:53 UTC 2025","passed","Wed Sep 17 14:10:54 UTC 2025","","com.demo.tests.CRUDUsingBuilderFakerFactoryParameterized","com.demo.tests.CRUDUsingBuilderFakerFactoryParameterized","updatePostFromPojo"
"","0","testLogin(String, String, int) [3] alex, pass999, 200","","Mon Sep 15 14:51:45 UTC 2025","failed","Mon Sep 15 14:51:45 UTC 2025","","com.demo.tests.LoginApiTest","com.demo.tests.LoginApiTest","testLogin"
"Verify that a post can be created using POJO serialization","2036","createPostFromPojo()","","Tue Sep 16 15:46:03 UTC 2025","passed","Tue Sep 16 15:46:05 UTC 2025","","com.demo.tests.CRUDUsingPOJO","com.demo.tests.CRUDUsingPOJO","createPostFromPojo"
"Verify that a post can be created using Builder Pattern, Factory and Faker","3985","createPostFromBuilder()","","Wed Sep 17 13:28:16 UTC 2025","passed","Wed Sep 17 13:28:20 UTC 2025","","com.demo.tests.CRUDUsingBuilderPattern","com.demo.tests.CRUDUsingBuilderPattern","createPostFromBuilder"
"","47","validatePostSchema()","","Thu Sep 18 07:35:06 UTC 2025","passed","Thu Sep 18 07:35:06 UTC 2025","","com.demo.tests.SchemaValidationTest","com.demo.tests.SchemaValidationTest","validatePostSchema"
"Verify that a post can be updated using POJO serialization","1102","updatePostFromPojo()","","Wed Sep 17 01:50:26 UTC 2025","passed","Wed Sep 17 01:50:27 UTC 2025","","com.demo.tests.CRUDUsingPOJO","com.demo.tests.CRUDUsingPOJO","updatePostFromPojo"
"Verify that a post can be created using Builder Pattern, Factory, Faker and MethodSource","724","createPostFromBuilder(int, String, String) [3] 9999, Hybrid Title 743, Consequatur rem consequatur suscipit. Inventore et nisi corporis. Et doloremque sed non reprehenderit. Est hic eum illum animi ratione enim nesciunt. Quos rerum consequatur velit similique voluptate harum.","","Wed Sep 17 14:51:25 UTC 2025","passed","Wed Sep 17 14:51:25 UTC 2025","","com.demo.tests.CRUDUsingBuilderFakerFactoryMethodSource","com.demo.tests.CRUDUsingBuilderFakerFactoryMethodSource","createPostFromBuilder"
"","45","factoryMethodTest()","","Wed Sep 17 06:24:38 UTC 2025","passed","Wed Sep 17 06:24:38 UTC 2025","","com.demo.tests.restAssuredTopic.FactoryMethodExample","com.demo.tests.restAssuredTopic.FactoryMethodExample","factoryMethodTest"
"Verify that a post can be created using Builder Pattern, Factory, Faker and Parameterized","1295","updatePostFromPojo(int, String, String) [2] 2222, Title Two, Body Two","","Wed Sep 17 14:10:54 UTC 2025","passed","Wed Sep 17 14:10:55 UTC 2025","","com.demo.tests.CRUDUsingBuilderFakerFactoryParameterized","com.demo.tests.CRUDUsingBuilderFakerFactoryParameterized","updatePostFromPojo"
